Participant_x,Segment_x,Participant_y,Segment_y,Left,Right,HeartBeat,Stimuli_Seconds,Peaks_Idx,Peaks_Seconds,ID
3,50,9,40,9,3,9,"[0.27148438 1.26171875 2.18408203 3.02294922 3.78320312 4.5
 5.22070312 6.24023438 7.33203125 8.36914062 9.33496094]","[ 82476  84504  86393  88111  89668  91136  92612  94700  96936  99060
 101038]","[40.27148438 41.26171875 42.18408203 43.02294922 43.78320312 44.5
 45.22070312 46.24023438 47.33203125 48.36914062 49.33496094]",Pair_26
3,90,10,5,10,3,3,"[0.25927734 1.42773438 2.61083984 3.79980469 4.94384766 6.09179688
 7.28271484 8.50390625 9.62792969]",[184851 187244 189667 192102 194445 196796 199235 201736 204038],"[90.25927734 91.42773438 92.61083984 93.79980469 94.94384766 96.09179688
 97.28271484 98.50390625 99.62792969]",Pair_27
3,20,11,50,3,11,3,"[0.49316406 1.79541016 3.09228516 4.30566406 5.45019531 6.62353516
 7.82275391 9.04589844]",[41970 44637 47293 49778 52122 54525 56981 59486],"[20.49316406 21.79541016 23.09228516 24.30566406 25.45019531 26.62353516
 27.82275391 29.04589844]",Pair_28
3,80,12,20,3,12,12,"[0.14990234 1.00585938 1.89794922 2.79443359 3.66699219 4.5234375
 5.32958984 6.10546875 6.88623047 7.72998047 8.6484375  9.58935547]",[41267 43020 44847 46683 48470 50224 51875 53464 55063 56791 58672 60599],"[20.14990234 21.00585938 21.89794922 22.79443359 23.66699219 24.5234375
 25.32958984 26.10546875 26.88623047 27.72998047 28.6484375  29.58935547]",Pair_29
3,40,13,5,3,13,13,"[0.26269531 1.40039062 2.62304688 3.609375   4.65332031 5.69726562
 6.62841797 7.49755859 8.42626953 9.43798828]",[10778 13108 15612 17632 19770 21908 23815 25595 27497 29569],"[ 5.26269531  6.40039062  7.62304688  8.609375    9.65332031 10.69726562
 11.62841797 12.49755859 13.42626953 14.43798828]",Pair_30
4,70,5,110,5,4,4,"[0.86914062 1.72363281 2.53710938 3.36669922 4.24365234 5.16503906
 6.08398438 6.9765625  7.83984375 8.71533203 9.61865234]","[145140 146890 148556 150255 152051 153938 155820 157648 159416 161209
 163059]","[70.86914062 71.72363281 72.53710938 73.36669922 74.24365234 75.16503906
 76.08398438 76.9765625  77.83984375 78.71533203 79.61865234]",Pair_31
4,80,6,80,4,6,4,"[0.51416016 1.36669922 2.17138672 2.97314453 3.80419922 4.66210938
 5.57324219 6.44335938 7.29052734 8.17333984 9.09863281]","[164893 166639 168287 169929 171631 173388 175254 177036 178771 180579
 182474]","[80.51416016 81.36669922 82.17138672 82.97314453 83.80419922 84.66210938
 85.57324219 86.44335938 87.29052734 88.17333984 89.09863281]",Pair_32
4,30,7,110,4,7,7,"[0.5        1.20361328 1.91455078 2.63085938 3.34863281 4.02539062
 4.70263672 5.38427734 6.07861328 6.78369141 7.49951172 8.21875
 8.92333984]","[226304 227745 229201 230668 232138 233524 234911 236307 237729 239173
 240639 242112 243555]","[110.5        111.20361328 111.91455078 112.63085938 113.34863281
 114.02539062 114.70263672 115.38427734 116.07861328 116.78369141
 117.49951172 118.21875    118.92333984]",Pair_33
4,90,9,30,4,9,4,"[0.01806641 0.88867188 1.70996094 2.55078125 3.40722656 4.28710938
 5.14453125 5.9921875  6.87890625 7.79541016 8.72900391 9.64257812]","[184357 186140 187822 189544 191298 193100 194856 196592 198408 200285
 202197 204068]","[90.01806641 90.88867188 91.70996094 92.55078125 93.40722656 94.28710938
 95.14453125 95.9921875  96.87890625 97.79541016 98.72900391 99.64257812]",Pair_34
4,110,10,25,10,4,10,"[0.23535156 1.13134766 1.98681641 2.85205078 3.70068359 4.51464844
 5.32275391 6.14355469 6.95751953 7.72216797 8.49267578 9.27685547]",[51682 53517 55269 57041 58779 60446 62101 63782 65449 67015 68593 70199],"[25.23535156 26.13134766 26.98681641 27.85205078 28.70068359 29.51464844
 30.32275391 31.14355469 31.95751953 32.72216797 33.49267578 34.27685547]",Pair_35
4,40,11,40,11,4,4,"[0.40234375 1.33789062 2.25390625 3.15820312 4.05126953 4.91113281
 5.79833984 6.71582031 7.6328125  8.54394531 9.44091797]","[ 82744  84660  86536  88388  90217  91978  93795  95674  97552  99418
 101255]","[40.40234375 41.33789062 42.25390625 43.15820312 44.05126953 44.91113281
 45.79833984 46.71582031 47.6328125  48.54394531 49.44091797]",Pair_36
4,100,12,50,12,4,12,"[0.84521484 1.70556641 2.61914062 3.54736328 4.48876953 5.41259766
 6.28808594 7.16894531 8.04882812 8.93896484 9.83105469]","[104131 105893 107764 109665 111593 113485 115278 117082 118884 120707
 122534]","[50.84521484 51.70556641 52.61914062 53.54736328 54.48876953 55.41259766
 56.28808594 57.16894531 58.04882812 58.93896484 59.83105469]",Pair_37
4,20,13,20,13,4,4,"[0.18994141 1.11914062 2.05517578 2.97900391 3.88916016 4.81396484
 5.75341797 6.69970703 7.63916016 8.55859375 9.47412109]",[41349 43252 45169 47061 48925 50819 52743 54681 56605 58488 60363],"[20.18994141 21.11914062 22.05517578 22.97900391 23.88916016 24.81396484
 25.75341797 26.69970703 27.63916016 28.55859375 29.47412109]",Pair_38
5,90,6,110,6,5,5,"[0.64794922 1.56689453 2.46484375 3.30908203 4.18310547 5.08007812
 5.98486328 6.86962891 7.71826172 8.58154297 9.48388672]","[185647 187529 189368 191097 192887 194724 196577 198389 200127 201895
 203743]","[90.64794922 91.56689453 92.46484375 93.30908203 94.18310547 95.08007812
 95.98486328 96.86962891 97.71826172 98.58154297 99.48388672]",Pair_39
5,100,7,50,5,7,5,"[0.38525391 1.25488281 2.08886719 2.92871094 3.78125    4.66210938
 5.57080078 6.44433594 7.30664062 8.17773438 9.06201172 9.89257812]","[205589 207370 209078 210798 212544 214348 216209 217998 219764 221548
 223359 225060]","[100.38525391 101.25488281 102.08886719 102.92871094 103.78125
 104.66210938 105.57080078 106.44433594 107.30664062 108.17773438
 109.06201172 109.89257812]",Pair_40
5,40,9,80,9,5,9,"[0.27783203 1.06787109 1.80712891 2.50292969 3.14453125 3.7734375
 4.45361328 5.42236328 6.39941406 7.34912109 8.23242188 9.05615234
 9.83398438]","[164409 166027 167541 168966 170280 171568 172961 174945 176946 178891
 180700 182387 183980]","[80.27783203 81.06787109 81.80712891 82.50292969 83.14453125 83.7734375
 84.45361328 85.42236328 86.39941406 87.34912109 88.23242188 89.05615234
 89.83398438]",Pair_41
5,10,10,0,10,5,5,"[0.79101562 1.73779297 2.71191406 3.67822266 4.59082031 5.52392578
 6.47607422 7.41601562 8.33154297 9.25878906]",[22100 24039 26034 28013 29882 31793 33743 35668 37543 39442],"[10.79101562 11.73779297 12.71191406 13.67822266 14.59082031 15.52392578
 16.47607422 17.41601562 18.33154297 19.25878906]",Pair_42
5,50,11,20,5,11,11,"[0.76855469 1.38916016 2.18457031 2.92626953 3.64746094 4.36425781
 5.14013672 5.99023438 6.9140625  7.86816406 8.77392578 9.63916016]",[42534 43805 45434 46953 48430 49898 51487 53228 55120 57074 58929 60701],"[20.76855469 21.38916016 22.18457031 22.92626953 23.64746094 24.36425781
 25.14013672 25.99023438 26.9140625  27.86816406 28.77392578 29.63916016]",Pair_43
5,30,12,110,12,5,12,"[0.34033203 1.21972656 2.09130859 2.96435547 3.81982422 4.65429688
 5.52294922 6.39892578 7.27441406 8.11767578 8.96386719]","[225977 227778 229563 231351 233103 234812 236591 238385 240178 241905
 243638]","[110.34033203 111.21972656 112.09130859 112.96435547 113.81982422
 114.65429688 115.52294922 116.39892578 117.27441406 118.11767578
 118.96386719]",Pair_44
5,20,13,45,13,5,5,"[0.22119141 1.10888672 1.97607422 2.86572266 3.76953125 4.68115234
 5.55175781 6.48193359 7.43017578 8.39892578 9.33203125]",[41413 43231 45007 46829 48680 50547 52330 54235 56177 58161 60072],"[20.22119141 21.10888672 21.97607422 22.86572266 23.76953125 24.68115234
 25.55175781 26.48193359 27.43017578 28.39892578 29.33203125]",Pair_45
6,10,7,45,7,6,6,"[1.02050781 2.21972656 3.4375     4.58935547 5.66455078 6.77050781
 7.92578125 9.05029297]",[22570 25026 27520 29879 32081 34346 36712 39015],"[11.02050781 12.21972656 13.4375     14.58935547 15.66455078 16.77050781
 17.92578125 19.05029297]",Pair_46
6,70,9,90,6,9,9,"[0.56103516 1.24560547 1.88720703 2.50244141 3.12255859 3.796875
 4.88964844 5.89013672 6.86425781 7.81152344 8.71484375 9.5703125 ]","[185469 186871 188185 189445 190715 192096 194334 196383 198378 200318
 202168 203920]","[90.56103516 91.24560547 91.88720703 92.50244141 93.12255859 93.796875
 94.88964844 95.89013672 96.86425781 97.81152344 98.71484375 99.5703125 ]",Pair_47
6,100,10,60,6,10,6,"[1.06445312 2.15380859 3.25634766 4.33691406 5.43847656 6.59228516
 7.77734375 8.94677734]",[206980 209211 211469 213682 215938 218301 220728 223123],"[101.06445312 102.15380859 103.25634766 104.33691406 105.43847656
 106.59228516 107.77734375 108.94677734]",Pair_48
6,40,11,60,11,6,6,"[0.87353516 2.02783203 3.234375   4.41845703 5.58886719 6.82324219
 8.06201172 9.20507812]",[ 83709  86073  88544  90969  93366  95894  98431 100772],"[40.87353516 42.02783203 43.234375   44.41845703 45.58886719 46.82324219
 48.06201172 49.20507812]",Pair_49
6,0,12,70,12,6,12,"[0.41894531 1.21582031 2.03515625 2.92333984 3.81835938 4.64794922
 5.46289062 6.30615234 7.17138672 8.06152344 8.95898438 9.82373047]","[144218 145850 147528 149347 151180 152879 154548 156275 158047 159870
 161708 163479]","[70.41894531 71.21582031 72.03515625 72.92333984 73.81835938 74.64794922
 75.46289062 76.30615234 77.17138672 78.06152344 78.95898438 79.82373047]",Pair_50
6,20,13,35,6,13,6,"[0.16552734 1.32080078 2.50439453 3.60644531 4.72412109 5.85742188
 7.00244141 8.11035156 9.27001953]",[41299 43665 46089 48346 50635 52956 55301 57570 59945],"[20.16552734 21.32080078 22.50439453 23.60644531 24.72412109 25.85742188
 27.00244141 28.11035156 29.27001953]",Pair_51
7,10,9,0,9,7,9,"[0.26953125 1.20263672 2.16992188 3.14453125 4.12255859 5.07080078
 5.96777344 6.8515625  7.72119141 8.6015625  9.51171875]",[  552  2463  4444  6440  8443 10385 12222 14032 15813 17616 19480],"[0.26953125 1.20263672 2.16992188 3.14453125 4.12255859 5.07080078
 5.96777344 6.8515625  7.72119141 8.6015625  9.51171875]",Pair_52
7,25,10,15,7,10,10,"[0.37451172 1.19580078 2.02978516 2.81005859 3.62353516 4.45117188
 5.25244141 6.03369141 6.83056641 7.66308594 8.47314453 9.35351562]",[31487 33169 34877 36475 38141 39836 41477 43077 44709 46414 48073 49876],"[15.37451172 16.19580078 17.02978516 17.81005859 18.62353516 19.45117188
 20.25244141 21.03369141 21.83056641 22.66308594 23.47314453 24.35351562]",Pair_53
7,20,11,90,7,11,7,"[0.75       1.48193359 2.17675781 2.89990234 3.62353516 4.35595703
 5.05957031 5.77294922 6.50146484 7.23681641 7.98046875 8.69042969
 9.40820312]","[42496 43995 45418 46899 48381 49881 51322 52783 54275 55781 57304 58758
 60228]","[20.75       21.48193359 22.17675781 22.89990234 23.62353516 24.35595703
 25.05957031 25.77294922 26.50146484 27.23681641 27.98046875 28.69042969
 29.40820312]",Pair_54
7,85,12,30,7,12,7,"[0.62402344 1.35546875 2.05322266 2.71826172 3.38574219 4.05126953
 4.72021484 5.40136719 6.09179688 6.76660156 7.45117188 8.15429688
 8.87255859 9.58886719]","[175358 176856 178285 179647 181014 182377 183747 185142 186556 187938
 189340 190780 192251 193718]","[85.62402344 86.35546875 87.05322266 87.71826172 88.38574219 89.05126953
 89.72021484 90.40136719 91.09179688 91.76660156 92.45117188 93.15429688
 93.87255859 94.58886719]",Pair_55
7,0,13,15,13,7,13,"[0.35253906 1.30078125 2.296875   3.23828125 4.22802734 5.22607422
 6.18261719 7.01367188 7.90722656 8.80712891 9.70605469]",[31442 33384 35424 37352 39379 41423 43382 45084 46914 48757 50598],"[15.35253906 16.30078125 17.296875   18.23828125 19.22802734 20.22607422
 21.18261719 22.01367188 22.90722656 23.80712891 24.70605469]",Pair_56
9,70,10,65,9,10,10,"[0.01220703 0.79101562 1.60107422 2.375      3.15039062 3.94824219
 4.75244141 5.58398438 6.390625   7.22949219 8.08496094 8.96826172
 9.79980469]","[133145 134740 136399 137984 139572 141206 142853 144556 146208 147926
 149678 151487 153190]","[65.01220703 65.79101562 66.60107422 67.375      68.15039062 68.94824219
 69.75244141 70.58398438 71.390625   72.22949219 73.08496094 73.96826172
 74.79980469]",Pair_57
9,110,11,80,11,9,11,"[0.82666016 1.59716797 2.31933594 3.02392578 3.70507812 4.41748047
 5.19384766 6.04248047 6.9296875  7.77734375 8.60400391 9.44775391]","[165533 167111 168590 170033 171428 172887 174477 176215 178032 179768
 181461 183189]","[80.82666016 81.59716797 82.31933594 83.02392578 83.70507812 84.41748047
 85.19384766 86.04248047 86.9296875  87.77734375 88.60400391 89.44775391]",Pair_58
9,100,12,10,9,12,12,"[0.54394531 1.40966797 2.30419922 3.19677734 4.08203125 4.92041016
 5.73681641 6.57080078 7.44140625 8.34277344 9.27246094]",[21594 23367 25199 27027 28840 30557 32229 33937 35720 37566 39470],"[10.54394531 11.40966797 12.30419922 13.19677734 14.08203125 14.92041016
 15.73681641 16.57080078 17.44140625 18.34277344 19.27246094]",Pair_59
9,10,13,85,9,13,13,"[0.45556641 1.328125   2.27099609 3.28808594 4.24267578 5.21630859
 6.21533203 7.22119141 8.11816406 9.03222656]",[175013 176800 178731 180814 182769 184763 186809 188869 190706 192578],"[85.45556641 86.328125   87.27099609 88.28808594 89.24267578 90.21630859
 91.21533203 92.22119141 93.11816406 94.03222656]",Pair_60
10,85,11,30,11,10,11,"[0.49707031 1.35205078 2.20605469 2.99755859 3.74365234 4.48876953
 5.26904297 6.11816406 7.00585938 7.90722656 8.79882812 9.66601562]",[62458 64209 65958 67579 69107 70633 72231 73970 75788 77634 79460 81236],"[30.49707031 31.35205078 32.20605469 32.99755859 33.74365234 34.48876953
 35.26904297 36.11816406 37.00585938 37.90722656 38.79882812 39.66601562]",Pair_61
10,95,12,60,10,12,10,"[0.67236328 1.42578125 2.1640625  2.89550781 3.66992188 4.44824219
 5.203125   5.93310547 6.62939453 7.30712891 7.98828125 8.68212891
 9.38818359]","[195937 197480 198992 200490 202076 203670 205216 206711 208137 209525
 210920 212341 213787]","[ 95.67236328  96.42578125  97.1640625   97.89550781  98.66992188
  99.44824219 100.203125   100.93310547 101.62939453 102.30712891
 102.98828125 103.68212891 104.38818359]",Pair_62
10,105,13,55,13,10,10,"[0.09814453 0.8359375  1.59277344 2.33447266 3.07226562 3.81347656
 4.57177734 5.31640625 6.06445312 6.83984375 7.61865234 8.36572266
 9.09814453 9.84033203]","[215241 216752 218302 219821 221332 222850 224403 225928 227460 229048
 230643 232173 233673 235193]","[105.09814453 105.8359375  106.59277344 107.33447266 108.07226562
 108.81347656 109.57177734 110.31640625 111.06445312 111.83984375
 112.61865234 113.36572266 114.09814453 114.84033203]",Pair_63
11,100,12,0,12,11,11,"[0.42041016 1.10839844 1.75390625 2.42285156 3.13623047 3.94335938
 4.80761719 5.69384766 6.54931641 7.36181641 8.11767578 8.859375
 9.59277344]","[205661 207070 208392 209762 211223 212876 214646 216461 218213 219877
 221425 222944 224446]","[100.42041016 101.10839844 101.75390625 102.42285156 103.13623047
 103.94335938 104.80761719 105.69384766 106.54931641 107.36181641
 108.11767578 108.859375   109.59277344]",Pair_64
11,70,13,105,11,13,11,"[0.12109375 0.86962891 1.59960938 2.30957031 3.02148438 3.75244141
 4.52490234 5.37646484 6.29199219 7.24658203 8.16845703 9.0859375
 9.98632812]","[143608 145141 146636 148090 149548 151045 152627 154371 156246 158201
 160089 161968 163812]","[70.12109375 70.86962891 71.59960938 72.30957031 73.02148438 73.75244141
 74.52490234 75.37646484 76.29199219 77.24658203 78.16845703 79.0859375
 79.98632812]",Pair_65
12,80,13,65,12,13,12,"[0.640625   1.43164062 2.21337891 3.0546875  3.95849609 4.84326172
 5.69873047 6.578125   7.50634766 8.44580078 9.3828125 ]","[165152 166772 168373 170096 171947 173759 175511 177312 179213 181137
 183056]","[80.640625   81.43164062 82.21337891 83.0546875  83.95849609 84.84326172
 85.69873047 86.578125   87.50634766 88.44580078 89.3828125 ]",Pair_66
